,ARK_Doc1_Boeing-shares-fall.txt,ARK_Doc2_Booking-fall-travel.txt
holds safety director,0.0335095168168023,0.0
holiday,0.0,0.03393770496482317
holiday season,0.0,0.03393770496482317
holiday season flights,0.0,0.03393770496482317
household,0.0,0.03393770496482317
household second,0.0,0.03393770496482317
household second fatal,0.0,0.03393770496482317
hundreds,0.0,0.03393770496482317
hundreds flights,0.0,0.03393770496482317
hundreds flights scheduled,0.0,0.03393770496482317
including,0.0335095168168023,0.0
including mutual,0.0335095168168023,0.0
including mutual recognition,0.0335095168168023,0.0
industry,0.0335095168168023,0.0
industry holds,0.0335095168168023,0.0
industry holds safety,0.0335095168168023,0.0
information,0.0,0.03393770496482317
information today,0.0,0.03393770496482317
information today found,0.0,0.03393770496482317
initially,0.0,0.03393770496482317
initially surveys,0.0,0.03393770496482317
initially surveys varying,0.0,0.03393770496482317
integrated,0.0335095168168023,0.0
integrated system,0.0335095168168023,0.0
integrated system relies,0.0335095168168023,0.0
international,0.2010571009008138,0.0
international aviation,0.1005285504504069,0.0
international aviation added,0.0335095168168023,0.0
international aviation regulators,0.0335095168168023,0.0
international aviation trusts,0.0335095168168023,0.0
international regulators,0.0670190336336046,0.0
international regulators cannot,0.0670190336336046,0.0
international transport,0.0335095168168023,0.0
international transport association,0.0335095168168023,0.0
investors,0.0670190336336046,0.0
investors america,0.0670190336336046,0.0
investors america called,0.0335095168168023,0.0
investors america calls,0.0335095168168023,0.0
involved,0.0,0.03393770496482317
involved fatal,0.0,0.03393770496482317
involved fatal crashes,0.0,0.03393770496482317
issue,0.16754758408401152,0.0
issue aircraft,0.0670190336336046,0.0
issue aircraft international,0.0335095168168023,0.0
issue aircraft process,0.0335095168168023,0.0
issue covered,0.0335095168168023,0.0
issue covered changes,0.0335095168168023,0.0
issue grounded,0.0335095168168023,0.0
issue grounded aircraft,0.0335095168168023,0.0
issue reportedly,0.0335095168168023,0.0
issue reportedly separate,0.0335095168168023,0.0
journal,0.0335095168168023,0.0
journal report,0.0335095168168023,0.0
journal report software,0.0335095168168023,0.0
juniac,0.0335095168168023,0.0
juniac statement,0.0335095168168023,0.0
juniac statement thursday,0.0335095168168023,0.0
killed,0.0,0.03393770496482317
killed people,0.0,0.03393770496482317
killed people theyll,0.0,0.03393770496482317
killing,0.0335095168168023,0.0
killing people,0.0335095168168023,0.0
killing people software,0.0335095168168023,0.0
labor,0.0,0.03393770496482317
labor southwest,0.0,0.03393770496482317
labor southwest american,0.0,0.03393770496482317
largest,0.0,0.03393770496482317
largest operators,0.0,0.03393770496482317
largest operators plane,0.0,0.03393770496482317
least,0.0,0.03393770496482317
least initially,0.0,0.03393770496482317
least initially surveys,0.0,0.03393770496482317
likely,0.0,0.03393770496482317
likely planes,0.0,0.03393770496482317
likely planes return,0.0,0.03393770496482317
lingers,0.0,0.03393770496482317
lingers airlines,0.0,0.03393770496482317
lingers airlines already,0.0,0.03393770496482317
mainline,0.0,0.03393770496482317
mainline aircraft,0.0,0.03393770496482317
mainline aircraft southwest,0.0,0.03393770496482317
making,0.0335095168168023,0.0
making according,0.0335095168168023,0.0
making according street,0.0335095168168023,0.0
malfunction,0.0335095168168023,0.0
manner,0.0335095168168023,0.0
manner would,0.0335095168168023,0.0
manner would expect,0.0335095168168023,0.0
march,0.0,0.06787540992964634
march grounding,0.0,0.03393770496482317
march grounding march,0.0,0.03393770496482317
march travelers,0.0,0.03393770496482317
march travelers bombarded,0.0,0.03393770496482317
media,0.0,0.03393770496482317
media storm,0.0,0.03393770496482317
media storm subsided,0.0,0.03393770496482317
middecember,0.0,0.03393770496482317
middecember monday,0.0,0.03393770496482317
middecember monday total,0.0,0.03393770496482317
monday,0.0,0.06787540992964634
monday example,0.0,0.03393770496482317
monday example thats,0.0,0.03393770496482317
monday total,0.0,0.03393770496482317
monday total according,0.0,0.03393770496482317
months,0.02384229720359832,0.024146956597524673
months boeing,0.0335095168168023,0.0
months boeing disclosed,0.0335095168168023,0.0
months killed,0.0,0.03393770496482317
months killed people,0.0,0.03393770496482317
montreal,0.0335095168168023,0.0
montreal representatives,0.0335095168168023,0.0
montreal representatives airlines,0.0335095168168023,0.0
mounted,0.0670190336336046,0.0
mounted since,0.0670190336336046,0.0
mounted since found,0.0335095168168023,0.0
mounted since wednesday,0.0335095168168023,0.0
mutual,0.0335095168168023,0.0
mutual recognition,0.0335095168168023,0.0
mutual recognition trust,0.0335095168168023,0.0
nears,0.0,0.03393770496482317
nears airline,0.0,0.03393770496482317
nears airline executives,0.0,0.03393770496482317
numbers,0.0,0.03393770496482317
numbers tenth,0.0,0.03393770496482317
numbers tenth research,0.0,0.03393770496482317
october,0.0335095168168023,0.0
october killing,0.0335095168168023,0.0
october killing people,0.0335095168168023,0.0
online,0.0,0.03393770496482317
online social,0.0,0.03393770496482317
online social media,0.0,0.03393770496482317
operate,0.0,0.06787540992964634
operate going,0.0,0.03393770496482317
operate going tough,0.0,0.03393770496482317
operate single,0.0,0.03393770496482317
operate single daily,0.0,0.03393770496482317
operators,0.0,0.03393770496482317
operators plane,0.0,0.03393770496482317
operators plane canceled,0.0,0.03393770496482317
order,0.0,0.03393770496482317
order american,0.0,0.03393770496482317
order american united,0.0,0.03393770496482317
package,0.0335095168168023,0.0
package america,0.0335095168168023,0.0
package america delay,0.0335095168168023,0.0
passengers,0.0,0.06787540992964634
passengers going,0.0,0.03393770496482317
passengers going avoid,0.0,0.03393770496482317
passengers would,0.0,0.03393770496482317
passengers would flights,0.0,0.03393770496482317
people,0.02384229720359832,0.07244086979257403
people dramatically,0.0,0.03393770496482317
people dramatically different,0.0,0.03393770496482317
people plane,0.0,0.03393770496482317
people software,0.0335095168168023,0.0
people software issue,0.0335095168168023,0.0
people theyll,0.0,0.03393770496482317
people theyll decide,0.0,0.03393770496482317
pilot,0.0335095168168023,0.0
pilot training,0.0335095168168023,0.0
pilot training regulators,0.0335095168168023,0.0
pilots,0.0335095168168023,0.0
pilots would,0.0335095168168023,0.0
pilots would address,0.0335095168168023,0.0
plane,0.0,0.2715016397185854
plane avoid,0.0,0.03393770496482317
plane avoid southwest,0.0,0.03393770496482317
plane became,0.0,0.03393770496482317
plane became household,0.0,0.03393770496482317
plane canceled,0.0,0.03393770496482317
plane canceled flying,0.0,0.03393770496482317
plane fleet,0.0,0.03393770496482317
plane fleet previously,0.0,0.03393770496482317
plane involved,0.0,0.03393770496482317
plane involved fatal,0.0,0.03393770496482317
plane least,0.0,0.03393770496482317
plane least initially,0.0,0.03393770496482317
plane types,0.0,0.03393770496482317
plane types advance,0.0,0.03393770496482317
planes,0.0,0.06787540992964634
planes return,0.0,0.06787540992964634
planes return nears,0.0,0.03393770496482317
planes return travelers,0.0,0.03393770496482317
planned,0.02384229720359832,0.024146956597524673
planned couple,0.0,0.03393770496482317
planned couple daily,0.0,0.03393770496482317
planned software,0.0335095168168023,0.0
planned software system,0.0335095168168023,0.0
potential,0.0670190336336046,0.0
potential boeing,0.0335095168168023,0.0
potential boeing agency,0.0335095168168023,0.0
potential risks,0.0335095168168023,0.0
potential risks recently,0.0335095168168023,0.0
premarket,0.0335095168168023,0.0
premarket close,0.0335095168168023,0.0
premarket close share,0.0335095168168023,0.0
prepping,0.0,0.03393770496482317
prepping planes,0.0,0.03393770496482317
prepping planes return,0.0,0.03393770496482317
president,0.0,0.03393770496482317
president atmosphere,0.0,0.03393770496482317
president atmosphere research,0.0,0.03393770496482317
pressure,0.1005285504504069,0.0
pressure company,0.0335095168168023,0.0
pressure company coordinate,0.0335095168168023,0.0
pressure stock,0.0670190336336046,0.0
pressure stock mounted,0.0670190336336046,0.0
previously,0.0,0.03393770496482317
previously planned,0.0,0.03393770496482317
previously planned couple,0.0,0.03393770496482317
process,0.0670190336336046,0.0
process designed,0.0335095168168023,0.0
process designed discover,0.0335095168168023,0.0
process pilots,0.0335095168168023,0.0
process pilots would,0.0335095168168023,0.0
pulled,0.0,0.03393770496482317
pulled schedule,0.0,0.03393770496482317
pulled schedule information,0.0,0.03393770496482317
questions,0.0,0.03393770496482317
questions whether,0.0,0.03393770496482317
questions whether plane,0.0,0.03393770496482317
recently,0.0335095168168023,0.0
recently found,0.0335095168168023,0.0
recently found potential,0.0335095168168023,0.0
reciprocity,0.0335095168168023,0.0
reciprocity among,0.0335095168168023,0.0
reciprocity among safety,0.0335095168168023,0.0
recognition,0.0335095168168023,0.0
recognition trust,0.0335095168168023,0.0
recognition trust reciprocity,0.0335095168168023,0.0
regained,0.0335095168168023,0.0
regained ground,0.0335095168168023,0.0
regained ground pressure,0.0335095168168023,0.0
regulators,0.16689608042518825,0.024146956597524673
regulators airlines,0.0335095168168023,0.0
regulators airlines around,0.0335095168168023,0.0
regulators airplanes,0.0335095168168023,0.0
regulators airplanes crashed,0.0335095168168023,0.0
regulators around,0.0,0.03393770496482317
regulators around world,0.0,0.03393770496482317
regulators cannot,0.0670190336336046,0.0
regulators cannot function,0.0670190336336046,0.0
