,ARK_Doc6_Airlines-avoid-parts.txt,ARK_Doc7_Why-allowing-pilots.txt,ARK_Doc3_Boeings-737-max.txt,ARK_Doc9_Rex-slams-claims.txt,ARK_Doc10_FAA-reassigns-senior.txt,ARK_Doc1_Boeing-shares-fall.txt,ARK_Doc4_Boeing_373_max.txt,ARK_Doc12_Can-airlines-force.txt,ARK_Doc11_American-airlines-says.txt,ARK_Doc2_Booking-fall-travel.txt,ARK_Doc8_In-recent-airline.txt,ARK_Doc5_NTSB-recent-crashes.txt,imp_value
working,0.0,0.0,0.15345092548555736,0.0,0.04449733067135116,0.0,0.0,0.0,0.1384213651156038,0.0,0.062969070984437,0.0,0.05927472292181985
light,0.07398720111491147,0.0,0.08548061080196559,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.0,0.0,0.0,0.05918976089192923
threat,0.07398720111491147,0.0,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.07710831851084113,0.0,0.0,0.0,0.05918976089192923
several,0.07398720111491147,0.0,0.17096122160393118,0.08784756503562528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05918976089192923
included,0.07398720111491147,0.0,0.08548061080196559,0.17569513007125057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05918976089192923
customer,0.07398720111491147,0.0,0.17096122160393118,0.0,0.0,0.0,0.16422922453332725,0.0,0.0,0.0,0.0,0.0,0.05918976089192923
government,0.07398720111491147,0.12123291570739002,0.0,0.0,0.0991498485345305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05918976089192923
travel,0.06021759163151359,0.0,0.0,0.0,0.0,0.0,0.0,0.062187511796535186,0.06275784413397278,0.049785325746101596,0.0,0.040688644132446335,0.0581311384544312
american,0.06021759163151359,0.04933525055926193,0.0,0.0,0.0,0.0,0.03341621330407008,0.0,0.5020627530717823,0.19914130298440638,0.0,0.0,0.058041123417063266
general,0.06021759163151359,0.04933525055926193,0.0,0.0,0.08069726924939007,0.047477775732860716,0.0,0.0,0.0,0.0,0.0,0.12206593239733901,0.058041123417063266
first,0.0,0.09009266919694123,0.0,0.0,0.0,0.043350337687746564,0.061022409269041955,0.0,0.0,0.045457282900770106,0.10426877848243718,0.037151413181668376,0.0579093839953876
year,0.0,0.045046334598470614,0.06352380743132226,0.0,0.0,0.0,0.030511204634520978,0.05678129597959765,0.0573020469844736,0.0,0.0,0.07430282636333675,0.05719789678349841
statement,0.06021759163151359,0.0,0.06957198591267826,0.0,0.04034863462469503,0.18991110293144287,0.03341621330407008,0.0,0.0,0.0,0.0,0.0,0.056243800230149896
problem,0.0,0.0,0.0,0.0,0.0,0.0,0.16422922453332725,0.0,0.07710831851084113,0.0,0.07015447619295867,0.0,0.05612358095436699
avoid,0.14797440222982294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18350834741556799,0.07015447619295867,0.0,0.05612358095436699
cannot,0.0,0.0,0.0,0.0,0.0,0.11666848993666852,0.0,0.07640757156615179,0.0,0.0,0.07015447619295867,0.0,0.05612358095436699
billion,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.08211461226666363,0.0,0.0,0.0,0.07015447619295867,0.0,0.05612358095436699
commercial,0.0,0.04933525055926193,0.06957198591267826,0.0,0.0,0.0,0.03341621330407008,0.0,0.0,0.0,0.057098167451274356,0.28482050892712435,0.05554558407287188
report,0.0,0.04933525055926193,0.0,0.3574921552257481,0.1210459038740851,0.047477775732860716,0.0,0.0,0.0,0.0,0.057098167451274356,0.0,0.05554558407287188
example,0.0,0.05440796146657795,0.0,0.07884998732402258,0.0,0.0,0.0,0.0,0.0,0.05490431393555387,0.062969070984437,0.0,0.05480504344175868
airplane,0.0,0.05440796146657795,0.0,0.0,0.0,0.05235949880277572,0.0,0.06858170795066629,0.0,0.0,0.0,0.13461690111979205,0.053998268933817505
second,0.0,0.05440796146657795,0.0,0.07884998732402258,0.0,0.05235949880277572,0.0,0.0,0.0,0.05490431393555387,0.0,0.0,0.053998268933817505
operation,0.12043518326302718,0.0,0.0,0.0,0.04034863462469503,0.0,0.0,0.0,0.06275784413397278,0.0,0.057098167451274356,0.040688644132446335,0.05381626278750877
concern,0.12043518326302718,0.0,0.0,0.07149843104514962,0.04034863462469503,0.0,0.0,0.0,0.0,0.0,0.057098167451274356,0.040688644132446335,0.05381626278750877
president,0.0664092381807604,0.0,0.0,0.0,0.0,0.0,0.0,0.06858170795066629,0.0,0.05490431393555387,0.0,0.04487230037326402,0.05289791122309591
decide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13716341590133257,0.1384213651156038,0.05490431393555387,0.0,0.04487230037326402,0.05289791122309591
case,0.0,0.0,0.0,0.0,0.04449733067135116,0.0,0.0,0.06858170795066629,0.0692106825578019,0.05490431393555387,0.0,0.0,0.052822917282713336
number,0.0664092381807604,0.0,0.0,0.07884998732402258,0.04449733067135116,0.0,0.0,0.0,0.0,0.05490431393555387,0.0,0.0,0.052822917282713336
major,0.0,0.05440796146657795,0.0,0.15769997464804517,0.0,0.0,0.0,0.0,0.0692106825578019,0.0,0.0,0.04487230037326402,0.05250082924791517
research,0.0,0.05440796146657795,0.0,0.0,0.0,0.0,0.0737042185940808,0.0,0.0,0.1647129418066616,0.0,0.04487230037326402,0.05250082924791517
without,0.0,0.05440796146657795,0.0,0.0,0.04449733067135116,0.10471899760555144,0.0,0.06858170795066629,0.0,0.0,0.0,0.0,0.0524258353075326
though,0.0664092381807604,0.05440796146657795,0.0,0.0,0.04449733067135116,0.0,0.0,0.0,0.0,0.05490431393555387,0.0,0.0,0.0524258353075326
still,0.0,0.0,0.07672546274277868,0.0,0.0,0.0,0.0368521092970404,0.06858170795066629,0.0,0.05490431393555387,0.0,0.0,0.05129387300785119
three,0.0,0.05440796146657795,0.0,0.0,0.08899466134270231,0.0,0.0368521092970404,0.0,0.0,0.0,0.0,0.13461690111979205,0.05089679103267045
